text,actual,predicted,transformer_pred,transformer_correct
yes i got my box for free i probably wouldn t have bought it there are too many cereals i like to bother with one i might or might not like right my concerns were two fold first would they be sweet enough i don t need sugar coated cereal but i don t want to eat cardboard either and second tight woven cereals like this tend to suck up all the milk so they ll start off too dry but end up too soggy could this cereal overcome those concerns in a word yes the flavor was sweet the squares started off crunchy but not too rough and they did not suck up the milk like a sponge so they weren t too soggy at the end either i still have other cereals that i like better but i ll likely occasionally buy this one too,positive,neutral,negative,False
i am a big fan of eating microwave popcorn a friend of mine suggested pork rines i thought she was crazy little did i know that they are best microwave snack that i have ever eatin in a long time now i can chose between microwave popcorn and pork rinds,positive,neutral,positive,True
i ordered these cookies and maybe it was due to the heat i didn t care too much for them and found them dry and crumbly well there is always a chance to redeem oneself and the manager caled and offered me a free offer it just so happened we were having a party and the cookies came just in time they were all eaten at the party and were a smashing success sweet fresh and with a glass of mild divine i highly recommend these sweets for a treat or just for someone special order two boxes and keep one for yourself thank you geoff and drew s i have added your website to my favorites,positive,neutral,positive,True
my first package got tied up in the mail somewhere the seller immediatel shipped another package out to me the beans are high quality i would definitely purchase this product again,positive,negative,positive,True
i have toy poodles it s a small breed not an actual toy made of plastic and they do not like to eat hard dog foods it got to the point where they were underweight because they refused to eat all of the different dog foods we tried now that we are using the moist meaty they are happily eating and back up to a healthy weight,positive,neutral,negative,False
jack link s beef jerky original ounce packages pack of tough and chewiness dry not too salty this is one of my favorites since the flavor isn t too strong i tend to eat too much,positive,neutral,positive,True
i had a really hard time drinking this product i tried it cold and room temperature nothing helped however of my co workers loved it it smells like fresh cucumbers i do like the vegetable however to sip it the taste is well it is a liquid light tasting cucumber thus the name hint i did give mine away,negative,positive,positive,False
just so you know you can usually get this at your local bodega or mexican grocery store for less than half the price i m like miles from mexico and i can still find it locally,positive,neutral,positive,True
i can t think of anything bad to say about this coffee every guest we have had enjoys it i m not much of a hazelnut person but it tastes pretty good to me,positive,neutral,positive,True
my cat was born in august so he s almost years old three years ago he started to throw up quite frequently the vet ran tons of very expensive tests and for the most part ruled out anything that can be treated we tried changing food but nothing worked i tried giving him home cooked food as well and that made throwing up even worse so one day i was in a pet store and the clerk said he had the same problem with his cat and suggested the most expensive food in store i was skeptical but i had nothing to lose but money three years later my cat is doing fantastic he only throw up when i feel bad for him and give him tuna as a pity treat he s healthy bouncy and seems to enjoy food the big bag lasts us for ever we bought a bag on november th and today again on march that s months for which is how much the bag costs in pet store i think i can afford month for my buddy i have no idea what s in there and i don t really care all i care is that my cat looks happy and healthy food purists who believe in feeding cat organic chicken and brown rice might not care for it,positive,negative,negative,False
whole family liked all three flavors we ve had some of the other brands of hot chocolates and they were good also but just couldn t get myself to pay that much for hot chocolate the price was right on these for sure but i was skeptical after reading reviews on the coffees made by this brand but it s just hot chocolate so i figured what the heck all three are actually plenty chocolaty on the biggest size serving honestly i think they re a little bit better than the other brands we ve had,positive,neutral,positive,True
while i was pleased to receive the grits i think the shipping and handling costs were ridiculous when i received the documents the actual costs of shipping was abut i would think twice before ordering again,neutral,negative,negative,False
this is actually not my favorite community coffee that would be the evangeline blend but it was on sale and i ve never tasted a bad community coffe yet so i thought i would try it still prefer dark roast coffee s but this was a good medium roast variety that is a nice change once in a while would be willing to try any community coffee it being on sale was just the icing on the cake life is too short to drink mediocre coffee if you drink community you get the best there is a true taste of new orleans,positive,neutral,positive,True
back to nature s chocolate delight granola tastes really good and has the perfect blend of crunchy and sweet that makes this a tasty snack either as a cereal or right out of the bag it s made from natural ingredients and doesn t contain artificial flavors preservatives hydrogenated oils or high fructose corn syrup but here s the rub the back to nature chocolate granola like all granola is high in fat some of it is the good fat polyunsaturated and monounsaturated but it does contain g of total fat g of that saturated fat it also packs calories per cup serving which is about handfuls and it s very easy to keep eating it since opening the bag i ve probably eaten three servings already because it s that good but that can t be good for my waist ok i shouldn t be that harsh and deduct star from back to nature for my own lack of will power but many customers will see the words nature and whole grain and think healthy treat the small serving size of the granola is also deceptive because many will think this is such a tiny amount that i ll just eat a little more because it really does seem like you re eating a small amount but then next thing you know you can t zip up your jeans on the plus side that means that the product is delicious but just be aware of serving size and portions otherwise it s a good alternative to say a calorie cookie that s full of high fructose corn syrup and sugar and no fiber,positive,neutral,positive,True
i odered because i love these but when i got the box the bags were different and the contents are not what they used to be i wouldn t buy it is not like the picture the added to many nuts and less of the good stuff dissapointed,neutral,negative,negative,False
we have a corgi and this kibble is one of the only two things that the breeder recommended unfortunately our dog does not like this food he would never eat a pellet on its own we always have to mix it with real food and even then he sometimes refuses to eat it on top of that none of the pet shops in our area carry this food so overall big pita we are still ordering from amazon but looking for an alternative,negative,neutral,negative,True
instant coffee does not taste as good as freshly ground and brewed coffee any instant coffee is a star at best instant coffee is only good for that moment when brewing a pot just isn t feasible or timely or your order for fresh beans hasn t arrived with that out of the way i think nescafe instant is one of the better instant coffees out there for me it has a better taste than most in the instant class measured against other instants i give this coffee stars for the price i got it for stars for the purpose of emergency gotta have coffee now stars,positive,neutral,negative,False
this food works for my dog she has some serious gas boston terrier and this food helps granted she still has gas but it isn t as well stinky two thumbs up,positive,neutral,negative,False
i bought these when i was looking for low point snacks as i have been doing weight watchers i eat the cinnamon apples when i want something crunchy when i want chewy and a little sweeter i eat the dried pears while many times i do eat packages for a snack i still buy the ounce bags since i have to get up and go get a second bag giving myself time to decide if i really still am hungry while it is true that some pieces have core and or seed on them i find it easy to cut that off or eat around it this is a great diet food and i like that it is organic,positive,neutral,negative,False
well this one is on its way to replacing my starbucks via at about half the cost per cup never would have thought that possible been starbucks fan for years egberts is a cost savings way to near perfect match to flavor and richness whoo hoo,positive,negative,positive,True
good coffee but i definitely prefer the their french roast the italian is not quite as strong as i like it,positive,neutral,negative,False
hi you should try the zero carb flavorrich version this version has a pleasant flavor and you can be confident you are having a legitimate low carb product it offer a money back guarantee that it will not increase anyone s blood sugar this is the only u s company that offers this guarantee on all their products even their net carb products have the same guarantee you can make your own decision on who is legitimate low carb product or just a product that may taste too good to be a real low carb product,positive,negative,negative,False
this item falls into the category of nice but not totally necessary while it steams and purees in one cup resulting in fewer dirty dishes if you already have a stove top steamer and a blender you can get the same results,neutral,positive,negative,False
i m not opposed to change but i do oppose change when change wasn t needed in the first place i am so disappointed in necco s misguided decision to change their classic sweethearts conversation hearts once a great traditional candy they re now just gross they changed all the flavors eliminated the white ones all together which as luck would have it were my favorites and changed the nice crunchy texture to a soft disintegrating mess bleck what a huge mistake why change a trusty classic why not just make a new candy,negative,neutral,negative,True
let me start out by saying how sad i am to give this product a negative review i love watermelon everything so i was super excited when i saw this new syrup was available i have to say however that it blows my mind how the guys in amoretti r d actually thought this syrup tasted like anything but watermelon cough syrup for use in italian sodas this is completely undrinkable i ve confirmed this with a few friends to make sure i wasn t just being a bitch others reviewers here have mentioned using this syrup in yogurt and i did try a couple pumps in a strawberry smoothie and the dairy did seem to help cover up the poison medicinal overtones in short i cannot recommend this flavor if you re looking for a good watermelon syrup try the torani version i m sure amoretti has some excellent flavors in their arsenal but this is definitely not one of them,negative,positive,negative,True
this cappucino is so good that all the employees at my office are drinking this now and want me to order more and i was going to try to keep it all to myself,positive,negative,positive,True
i tried this because you could not get any more of mrs leepers and i found that in my opinion mrs leepers is a better rice pasta,neutral,negative,negative,False
i transitioned my baby onto this formula after i learned about the method that other companies use to extract the dha for their formulas i figured an organic formula would be much better for him since i only feed him organic food anyway he loved it took to it immediatley it is slightly foamy but my baby has never been colicky it s definitley not as bad as some other reviews state i noticed that it only gets somewhat foamy if you shake it for a good while if you are really concerned about that you can stir it it will not get foamy it s not a concern to me overall glad i switched his formula,positive,negative,negative,False
since joy our bischon frise started eating this food her fur is no longer oily she smells much better the pieces are very small and easy for her to eat,positive,negative,negative,False
i have three dogs and one of them kept having bouts of diarrhea my vet gave her antibiotics and other prescription drugs to resolve the problem these would work for about a week and then the problem would return my dog groomer suggested that there might be a food allergy involved i looked on amazon com and saw the wellness limited ingredient diet for dogs with food sensitivities simple food solutions dog food i noted that the primary ingredent was lamb instead of corn i ordered some and the first day i fed it to my dogs it worked my little dacshund sugar had no more diarrhea or sickness from that day forward i feed it to all my pets and i believe that they are actually happier now i am too,positive,negative,negative,False
when i m in a hurry i can always count on these potato products from betty crocker to make a hit without much of an effort on my part,positive,negative,negative,False
i really purchased this products for my cousin she baked a pineapple pound cake and it was so good it didn t last through the family meeting very good product,positive,neutral,positive,True
the taste is as if you put cashews and cacao nibs together and eat no taste out of the ordinary in my opinion a snack should be a treat this product is good but not quite a satisfying treat i m surprised people gave it and stars i ve tasted better raw vegan desserts treats than this edit i ve been snacking on it more today and i must say the more you eat the more tasty addicting it gets,neutral,positive,negative,False
these gummies are the most delicious i have tasted compared to their american counterparts these are practically the real fruit their flavor is fresh and bright and they taste just like the real thing but with that fun gummy texture the lychee gummies are no exception they have the aroma and pleasant aftertaste the fruit has with the hint of tanginess they taste a hint more like the fresh kind than the canned for those of you that have had both,positive,neutral,positive,True
this came in phenomenal time i was shocked at how fast it arrived the coffee itself does taste like caramel but it s not too sweet nor does it have that strange aftertaste that some flavored coffees can have i would use this seller again in a heartbeat and look forward to trying more of their coffee,positive,negative,positive,True
i spent a lot of time seeking the right bean for my fully automatic espresso maker wanted a bean that was smooth with a chocolate finish and not oily top class is that coffee the product is also well priced,positive,negative,positive,True
when i recently started using k cups wasn t sure that the quality or the intensity would be up to par i wound up trying many of the standard k cups which for the most part were ok but not great the barista prima french roast is well worth trying very intense and flavorful no more concerns about throwing away my old coffee pot,positive,negative,positive,True
i usually drink green tea straight up but i wound up in a starbucks one day and ordered a chai latte it didn t taste like tea to me at all it was more like hot chocolate only with spices instead of chocolate i thought i d gone to heaven i regretted not bringing some of the tazo tea home later i just started craving the stuff i found tazo chai spice at the supermarket but wasn t happy with the price so i thought i d try stash i already buy some of their green teas it s even better than tazo the spice chai or double spice chai they re both delicious the double just has more spices and works better with milk or cream makes the house smell good too not knocking tazo either after all i did rave about their tea i just think this is even better if you want to give tea as a gift spice probably won t go to waste no matter what the tea drinker usually drinks every tea drinker i know can go for a spice every now and then,positive,neutral,negative,False
when i bought this i didn t think it would be so tasty this tea has a very flavorful sweet natural taste i am a big tea drinker and always hunt for a new taste and this is definitely at the top of my list,positive,neutral,positive,True
pros packaging keeps portions noticeably fresher than cans portions are for my cats ideal servings they are not large cats but not kittens either each pack seems to be just the right amount i no longer have opened half full cans of food sitting around that sometimes go to waste dispensing into the bowl is a much more clean process than with cans variety of flavors in each box cons despite the pros i had to give it stars because both of my cats and a catfood eating dog don t ask will only eat the pouches that contain tuna that means of the pouches seem to end up going to waste i can remedy this by purchasing differently but felt it was important since pets agreed at my house if your cat is large the portions will most likely be too small tip shake the pouch by holding it at the top before opening the top this pushes all of the juice down to the bottom of the pouch there is a chance when you rip it open that you ll get catfood juice on your hands if you don t,neutral,negative,positive,False
i ve been buying happy bellies for the past months though i didn t use it exclusively i also tried other brands i d say i ve bought probably or cans so far unlike most of the reviewers here who opened a seemingly bad can most of my cans have been grayish greenish color i thought it was a bit weird that the color consistency smell is different from the other brands but since the quality i got has been consistent consistently bad i didn t think too much of it and then one day i finally got one that looks normal i did some search on the internet and realized that i ve been giving my baby bad oatmeal i feel so bad i hope the company does something about it and that fda investigates on this issue has anyone reported this yet,negative,neutral,negative,True
this item was just as advertised you can see exactly what is in the item nuts etc are visible and held together with honey etc the taste is just wonderful worth the money to get such a good and unadulterated product,positive,negative,positive,True
i don t have much to say about this maple syrup except delicious great taste my other complaint which really isn t a complaint is that the price is only average not the fault of the maker at all maple syrup isn t cheap that s just the way it is so an average price is fine,positive,neutral,positive,True
the brown pieces of food have a bizarre almost rubbery texture to them but my dogs absolutely love this dog food i can t justify the price for use on a daily basis especially given that the ingredients aren t exactly top quality compared to come other brands so we ve been using it as treats and training aids i cant say enough about how much my dogs love this food if it was up to them we d be using chef michael s exclusively,neutral,positive,positive,False
in the supermarket its taste good with coffe or cooking just price is so hight here ill just go store buy it,positive,neutral,negative,False
i tried this when i was in southern california and cannot find it anywhere in northern california i like it because it is poultry and has natural ingredients with no preservatives i can eat it instead of a protein bar i can take it camping it doubles as emergency earthquake supplies and it s not full of fat or sugar i find the price a little high but i make sure to have the bag last for several days,positive,neutral,negative,False
i have tried herrs utz wise pringles lays etc but kettle tasted the best the quantity of salt used is the optimum which is required although they say serving size ounce you will finish the whole packet in no time total calories is for ounce bag this is slightly on the higher side but still it is ok as they have not compromised on the taste only issue was that all packets have some burnt chips which taste bad kettle should take care when packing to ensure no burnt chips are there thanks to amazon to get bags for just bucks with free shipping using their coupon,positive,neutral,positive,True
what happens when you say his name three times michael keaten stars in this comedy about two couples that live in an old two story house while coming back from a supply store the couple suddenly get caught inside of a quot broken up quot bridge and then just before they start to tumble down into the lake a board catches them but just when they ve got their hopes up and small dog steps on the board and the car starts to slide off the bridge and into the lake waters a few minutes later they find themselves back into their home they find that somehow somehad light the fireplace as if done by magic from then on they find a weird looking dead guy known as bettlejuice the only way they can get him for help is to call him by his name three times and he will appear at their survice but they soon wish that they have never called his name because bettlejuice was once a troublemaker but he is the only one who can save them on the account that they said his name three times they can t leave their houses or else they will find theirselves in another world with giant sandworms this is a stellar comedy that you should see michael keaton is awesome as he plays the leading role of bettlejuice,positive,neutral,negative,False
if you like flavored coffee this is okay it does have the smell and flavor of a chocolate donut it is not very strong or robust i tried this out of curiosity i would not order it again but then i like a rich robust coffee,negative,neutral,positive,False
now i m not going to compare this stuff to home made and especially not my own home made but for a container that you buy off the shelf it s pretty darn good i ve been getting tired of wolf brand chili for a few years and recently decided to try something different i got some of this and thought it would probably be mediocre at best what a great surprise the stuff is very tasty it s just spicy enough to get your attention but then it settles out and isn t bad at all it s sort of like false alarm chili it s got large beans maybe kidney and nice chunks of meat the sauce is a little more fluid like that other brands so you can see the beans and meat better i think i just found my new favorite instant chili,positive,neutral,positive,True
i was wrong thinking that this is dry salty plum i didn t like the taste i can say yhe product leaves bad after taste in the mouth,neutral,negative,negative,False
great tasting coffee strong but not obnoxiously strong and no nasty aftertaste too bad it cannot be purchased on subscribe and save anymore,positive,negative,negative,False
teavana had the ayurvedic white chai combined with this as a store sample loved ordered tastes just the same at home delish note we ordered a tea kettle on amazon that allows you to brew to specific temps i recently learned the temp coupled with the steeping time makes all the difference one more thing teavana has an app it provides directions for preparing all the teas they sell including combinations between varieties and it has a little timer for steeping good job teavana,positive,negative,negative,False
i ordered this product because of the dr oz show for anti aging a nice by product is i swear my knee pain has improved since i started drinking a cup a day oh yeah and it taste good,positive,negative,positive,True
this one is well thought out perfect in every way i threw my old my k cup out in the trash did you know that some of the new keurig brewers such as the b were redesigned a little yes and the new brewers don t allow the my k cups from keurig to fit properly i called keurig on this and their customer service team says some of the brewers were redesigned with slight changes that don t allow the my k cups to fit you have to move a small gasket down each time you switch between your k cups and your my k cup we don t have a new my k cup that works so you need to just use this work around for the time being now with my eco brew problems solved that s because it s the exact same size as the k cups no more changing the adapter in and out it works better too coffee is stronger no more hole down the middle with weak coffee and wasted grounds that were never used whoever designed this was a genius and too bad for keurig they didn t think of it,positive,negative,negative,False
the wrapping is secure and nicely designed and that s the end of the good news i m not sure this bar qualifies as food it is like single slice cheese in that it seems like a food product and not an actual food it is dry crumbly and not better tasting than shoveling a scoop of protein powder into the ol piehole also you can t really eat this product in public it literally looks like a big bar of chocolate covered mouse turds,negative,neutral,negative,True
i love anything pumpkin so of course this coffee fit the bill i find that one cannot go wrong with green mountain all of their seasonal k cups are great just so you know i prefer dunkin donuts over starbucks so if you are with me on that you will probably like green mountain i do not like bitter coffee,positive,neutral,positive,True
for whatever reason we have been using tin foil to cover the cat food cans for years finally it dawned on me to purchase actual lids after reading many reviews of lids on amazon we settled on these and good thing we did first these are real rubber soft and easy to put on and take off they have large pull tabs on the side that make it easy to take off they fit the large cans and small ones they have a inner ring for the smaller cans and the seal is tight i put them in the top shelf of the dishwasher and they hold up just fine after a few months they look and work as good as new they shipped fast and arrived undamaged,positive,neutral,negative,False
our two rescue cats are a year old torbie and an year old tuxedo both girls are inside kitties and get a moderate amount of exercise playing with each other and their dogs on regular dry cat food one of the cats has a tendency to tub up rather quickly and the older feline s fur tends to become tangled and a tich dry with diet foods this also leads to additional grooming and resulting hair balls after surfing through likely food sites i was impressed by premium edge s ingredient list chicken and salmon target audience and price point in that order the gobbler preferring seafod blends and the older girl loving chicken it seemed this would be a good fit but as any cat parent knows the proof is in the pudding would these indivuals like it really like it pounds worth both cats accepted this new kibble without problems big sigh of relief there the formerly chunky kitty has begun to look a little more panther like again while in only a matter of days the coat of our amh tabby is soft and gleaming with less need for as much grooming this is an added plus as not every weight reduction formula out there will yield a nicer coat our senior girl can chew this small firm kibble just fine stools seem the same with the premium edge dry food and there is not as much hacking and hawking of fur balls underfoot one tip since both cats become finicky with any dry chow that becomes old with bags larger than lbs we are using a few lock n lock containers with tight seals to hold the excess and keep at bay our pair of curious canine chowhounds,positive,neutral,negative,False
my cat went into mourning when our dog died and wouldn t eat so my friend gave me a tin of this to try and that got her back on track so i ordered more and boy did she love it it even smells good almost like human tin food,positive,negative,positive,True
this set is the same as what i bought in walmart and have lower price i like this product and shipped very quickly to my house good seller and good product,positive,neutral,negative,False
i have given my cats this catnip and they don t really react much at all from it they just roll around in it and that is all they don t get catnip that often so i don t know if it is the product or that my cats have a high tolerance to catnip thanks,neutral,negative,negative,False
this coffee drink is made in denmark and imported to be sold by coca cola its ingredient list is short and pretty non offensive coffee sugar potassium bicarbonate and potassium citrate the can is labeled as no preservatives so i m not sure of the reason for the last ingredient the taste is like a sweet high quality coffee it claims to be an italian espresso style coffee and i suppose it is although i m not an expert that s about it no milk or cream taste but good coffee if you like cold sweet coffee you should like it the drink contains mg of caffeine so it s about as strong as your average energy drink or high end cup of coffee it contains calories so it s fairly light in that department being that it doesn t use artificial sweeteners,positive,neutral,negative,False
these bars taste kind of like a peanut butter and strawberry jelly sandwich they taste like they are not full of sugar so that s good for young kids and adults alike i enjoy bars that have the nuts and other ingredients visible and so this product gets a good grade from me,positive,neutral,neutral,False
it cost a few pennies but it will give you an energy boost so you can keep on going i take one before the run and one every minute thereafter,positive,negative,positive,True
my local store stopped selling a popcorn salt and so i ordered this one i have been extremely happy with it its a fine grain salt so it sticks to popcorn and salts the taste the large container lasts a long time i think i used the first one for about a year and i just bought a second one,positive,negative,positive,True
i have purchased this product a couple times now and i think they are great normally i do not care for the fake taste of may lollipop brands but this one i really enjoy i also keep them in my candy dish at work at first people were hesistant to try them they were not familiar with the brand but the ones that have always come back looking for more they have also figured out which ones are the best flavors and which ones are rare when i refill the dish it is a race for the mango and sour apple flavors both which i quite enjoy,positive,neutral,positive,True
ordered these because i wanted to try them and none of the stores in my area seem to carry them normally i eat the habanero bbq or the wasabi for spiciness they are better than the habanero but not as much as the wasabi can be though in all fairness the wasabi is in a whole different taste spectrum anyway flavorwise is where they lose out they taste much saltier and the flavor itself is overpowered by that until you get to the end zing where the spice kicks in in summary they are edible and i will finish off the cans that i ordered but i will go back to purchasing my wasabi and habanero after that,neutral,negative,negative,False
i normally purchase the lavazza grand crema pods for use with my breville espresso machine and have always been happy with them but wanted to try something different so i ordered a box of espressione classic espresso instead initially i was very disappointed with the results a second shot of espresso using these pods contained only about half as much liquid as one using my normal lavazza pods in other words the water was passing through these pods at a much slower rate than through the lavazza maybe my machine is lacking in pressure but i could tell just by the feel of the pods that these are much more tightly packed than the lavazza ones my disappointment changed to delight when i tried these pods out on my handpresso wild however i had never really liked the taste of the lavazza pods using this machine seemed much more bitter compared to my real machine at home but with espressione it was perfect bottom line if you are using a handpresso i recommend these pods if you are using a normal espresso machine you may want to try out a smaller size package before committing to pods,positive,neutral,negative,False
i have tried many snack and nutritional bars and these are my current favorite the combination of flavors not only satisfies my hunger but also satisfies my desire for something sweet what turns me off about most fruit nut bars is the syrupy sweet substance that holds the ingredients together i don t taste that at all in any of the kind bars i have this particular variety on auto delivery,positive,negative,positive,True
great product but i pay cents per pouch at our local grocery store here they are selling for over dollars a pouch i was hoping to put a few cases on monthly shipment but given the price i will keep buying them at the grocery store,positive,negative,negative,False
we ordered a case of these without never having tried them before and were pleasantly surprised they have a distinct flavor and are very addicting the only down thing i can say is that when you open the package there is only around of a bag and they are gone before you know it,positive,negative,negative,False
brought several trees they all died within month s i have a lot of experience with both bonsai and orchids i have some who are over years old maybe it s the shipping or the fact i brought them when it was cold i m not sure but i won t buy them that way again,negative,neutral,negative,True
the seller of york peppermint patties tried twice to send me their product but due to circumstances beyond their control the merchandise arrived in a partially melted condtion the seller did their best to compensate but it did not work they were handsome in their actions to reemburse me and showed a company policy that i wish would be followed by all the merchants that i do business with alas what actually arrived were partially melted patties perfectly edible but not fit to be served to visitors if one had company opening the patties would scatter the chocelate covering and make a mess once passed the mess the patties tasted fine it has been explained to me that taking extra care in the shipping would make the cost prohibitively expensive would like to thank the bice wholesale company for the efforts they took to send me a satisfactory product sorry to say they were only partially successful in this particular case one could honestly blame the summer temperatures and or the heatwaves that pestered the mid west and east coast recently regards adam b dijkman,positive,negative,negative,False
i loved the hawiaan mix and when it was no longer available i decided to go for this one i am so disappointed and spend my mornings picking out the cranberry rocks ussually all udi products for the gluten free are superior but this cranberry granola should never leave the factory,negative,neutral,negative,True
usually i buy spicy shake n bake seasonings so i was prepared to be a little disappointed when i tried my sample of the original pork breading it turned out to be pretty tasty the crispy breading added a subtle flavor to the pork and didn t overpower it add some rice or pasta and a side of vegetables and you ve got yourself a healthy home cooked meal with little hassle i ll make a note to buy more of the original flavor in the future,positive,neutral,negative,False
both of my kids go crazy for these pouches they would eat several in a row if we let them with the little one you have to be careful so that she does not squirt it all over herself and she has made a big mess in the car a few times but by months she seems pretty good at self feeding with them definitely recommend these if you want something your kids will love and is hopefully good for them,positive,neutral,positive,True
i am a huge fan of genisoy soy crisps deep sea salted flavor i love the crunch and texture of this non greasy snack the flavor is subtle and very light no heavy salty taste or greasy lips or fingers after eating i also like that i can really indulge on these and not feel the regret of eating too many calories soy crisps are my fav crunchy treat lt,positive,neutral,positive,True
these tasted so good i was surprised because i have heard so many negative things about glutten free bread products i would eat these by choice not because i have to,positive,negative,positive,True
these payday peanut caramel candy bars were very yummy i don t know why the first description of the product says bars a bit further down in the details it does tell you bars for candy bars would be a rip off but you get king size candy bars which equals regular size so the price with the free s h is a good deal i would buy again,positive,neutral,neutral,False
i may still be able to use this mix if i pick out the sesame seeds and it may make rice taste great but i wish i had known there were whole sesame seeds in the mix,negative,neutral,negative,True
the nuts were plump and fat not too salty but seemed a bit dry which we interpreted as not as fresh as we would have liked for the purchase amount i feel when fresh nuts are uniquely flavorful each with their own signature taste it seemed that many of the nuts lovely as they were were indistinguishable from one another,neutral,positive,negative,False
i add these nibs to smoothies and yogurts everyone in my family enjoys this product including my month old son however cacao nibs are not at all sweet and i would not consider them candy,positive,negative,neutral,False
i tried this from the sampler pack and couldn t get over how great it tasted when brewed at the largest travel mug setting in the platinum brewer although i like the breakfast blend from green mountain for my actual breakfast cup of coffee this is the one that is keeping me out of starbucks,positive,negative,positive,True
i dont really worry about my weight these days these bars are not exactly low calorie though in the writeup i read on the internet i the guy who created the product says he sometimes eats a couple of them for lunch that s about right it would be a tasty light on the go lunch at calories so much better for you than a candy bar i read an interview the magazine about the founder of the company and it inspired me to try other bars also where they are selling them everywhere i loved it the one i sampled was different from this one but this one sounded like i would enjoy it even more and i did,positive,neutral,neutral,False
prices for pine nuts are going up and up it seems like the prices go up every month no reason to buy in bulk,positive,neutral,negative,False
i had bought these yesterday at ralph s about pretty average for a box of kashi bars i was looking really forward to having them as a snack today i had read the reviews about how hard they are yes they re hard but about the same hardness as a nature s valley bar the taste is great pumpkin pie does come to mind but these remind me of ginger snaps more in each individually wrapped package are two thin but not too thin pieces pretty enjoyable and most importantly the nutritional value is good if trying to maintain weight better than a quaker oat granola bar totally recommend,positive,negative,positive,True
update but stars go to amazon who issued a credit for my last order of this product good work and thank you amazon i am impressed mo change from stars to cancel this praise of this product it does contain bpa mo this is great fish no bpa no added salt i choose what and if salt is added i love lots of eatable fish bones top calcium availability congratulations crown prince and thank you for canning fish i can eat without bpa,negative,neutral,positive,False
this oil has a very mild flavor i use a lot of olive oil and this is a good economical option for a light flavor i did have some dripping issues with the can but nothing is perfect if the tin didn t cause drips i would have given it stars,positive,neutral,positive,True
the extract was just what i was hoping it would be we are using it to make pancake syrup it is perfect i was shocked when it arrived at my door only days after i ordered it the extract was packaged well couldn t be happier,positive,negative,positive,True
i was a bit disappointed in this pineapple it was dark colored and rather tough and limp i liked that it did not have any suphur or sugar in it but still i found the fruit difficult to eat because it looked so dark and unappetizing,negative,neutral,negative,True
i got this after reading an article in natural health magazine s october edition feed your pet right the article identified protein rich nutritionally balanced cat food my two cats did not like the chicken types but love the red snapper tuna and shrimp tuna and sole and yellow fin tuna i get the combo in the pack i would recommend switching over from dry food to wet slowly so there s no upset stomachs i think your cats will like this food even if they are picky like mine,positive,neutral,positive,True
i got these for my in laws who have the mr coffee version for k cups they do enjoy them but prefer the milk chocolate version better,positive,neutral,negative,False
my dogs love these but i stopped using them because they were expensive not long after i stopped i noticed my dogs breath stank really bad so i started buying them again totally worth the cost i just didn t notice what a good job they were doing until i stopped using them,positive,negative,negative,False
i purchased the peanut butter treats my goldendoodle seems to really enjoy them the only drawback is that they do dry out quickly so keep the bag sealed,positive,neutral,negative,False
i ve read a whole lot of reviews for the various different brands of truffle oil a number of which suggest that there is no way of infusing truffle flavor into the oil and that all are full of chemicals well i can t comment knowledgeably on that but i can say that the bartolini brand is by far the best that we have tried and tastes and smells strongly of truffle we use this primarily as a finishing oil on risotto and scrambled eggs where the quality of the underlying oil is critical and have been really happy with the bartolini oil i first used this product when living in london and had friends bring some out for me when i hadn t been able to find a good alternative in the us so am delighted to find this on amazon the oil is a bright yellow and the base oil smells like a good quality extra virgin oil each bottle at least has a small piece of truffle in the bottom lending some support at least to the idea that the oil is infused if there is artificial flavor added as some reviewers have suggested there has to be then all i can say is that the resulting taste certainly doesn t have a chemical or artificial taint unlike some other brands we have tried in particular we have also used the tourangelle brand available in a tin from amazon and whole foods which is absolutely ghastly and the quality of the oil used for that brand is appalling the end product is pale tasteless and almost without any aroma let alone that of truffles the presentation in a tin is unattractive and also lends the oil a somewhat metallic taint just a generally awful product i guess they realize that the product looks so bad that if they put it in glass they d never sell any of it perhaps they think people are going to use it as a cooking rather than a finishing oil which is completely inappropriate you could hope that heating it may burn off the dreadful chemical taint so if you re looking for a good option that looks and smells good on the food and at least gives the impression that it is a natural oil i don t think you can go past this product,positive,negative,positive,True
i am used to see either the pink saccharin or the blue aspartame envelope one warns about cancer while the other one warns about brain damage splenda does not have any of those now the pink and the blue are gone from our work office first approved for use in canada in and later on in the us in splenda is multiple times sweeter than the previous sugar substitutes unlike saccharin splenda does not have a metallic aftertaste another advantage is that splenda is stable under heat and can be used for baking,positive,negative,neutral,False
